"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"experience",1,0.097042683386861,0.217345603560344,-0.154996794793089,-0.156288142828972,-0.174918887916307,0.0753065737924737,0.196064776297296,0.035145021506983,0.0579467280280233,-0.0889473462390794,-0.143732607817285,-0.0129231427850881,0.0644828377029337,0.0636414810952601
"wage_h",0.097042683386861,1,0.614957803854813,0.259010705575685,0.150122679068921,0.128026323605456,0.0144590316733595,0.0237969036744393,0.02021191781392,-0.00414592215100773,-0.0184378119574006,-0.0483394991061292,-0.0518164279273811,-0.0852850435642687,0.150257423053246
"logwage_h",0.217345603560344,0.614957803854813,1,0.474854092536019,0.269258879794619,0.240116289568248,0.0308444842257895,0.0923695192018646,0.0434097090717233,0.0091975322389564,-0.0554040469025809,-0.123687382587559,-0.140400084064705,-0.132725475897705,0.30052856167726
"school",-0.154996794793089,0.259010705575685,0.474854092536019,1,0.500997385393797,0.466629504663143,-0.0521376044985017,-0.137663263635559,0.0299029890477644,0.00675770066172322,-0.0385337371375992,-0.0728976455775698,-0.161016655903167,-0.215829678085436,0.350676969383076
"school_father",-0.156288142828972,0.150122679068921,0.269258879794619,0.500997385393797,1,0.749488505516472,-0.0839411836178017,-0.120204614478952,0.101659235708246,-0.0164088700660637,-0.0966158818655781,-0.00919980808351984,-0.109750140160713,-0.125623988993883,0.142444818853187
"school_mother",-0.174918887916307,0.128026323605456,0.240116289568248,0.466629504663143,0.749488505516472,1,-0.089652409675609,-0.135550352666981,0.152909750166043,-0.0239978927669387,-0.145920467692655,0.00637149339210288,-0.106314542804391,-0.0973573323656089,0.117742928728712
"married",0.0753065737924737,0.0144590316733595,0.0308444842257895,-0.0521376044985017,-0.0839411836178017,-0.089652409675609,1,0.146555217977843,-0.0851040570517535,0.00873399117687489,0.085249844318759,-0.00270483784676291,0.0357090248394579,0.043816636763457,-0.014343118934856
"male",0.196064776297296,0.0237969036744393,0.0923695192018646,-0.137663263635559,-0.120204614478952,-0.135550352666981,0.146555217977843,1,-0.0931093661101976,-0.00803641475374141,0.108628329744351,-0.27618423447981,0.0229553956666245,0.17751332369749,-0.148262727115217
"d_north",0.035145021506983,0.02021191781392,0.0434097090717233,0.0299029890477644,0.101659235708246,0.152909750166043,-0.0851040570517535,-0.0931093661101976,1,-0.500232752196362,-0.654565555094789,0.06439476620554,-0.0828613894954148,0.148673178234647,-0.148466175159806
"d_centre",0.0579467280280233,-0.00414592215100773,0.0091975322389564,0.00675770066172322,-0.0164088700660637,-0.0239978927669387,0.00873399117687489,-0.00803641475374141,-0.500232752196362,1,-0.327182997345071,0.00116687523283912,-0.0392075609440007,0.00717814501818682,0.0110914212720245
"d_south",-0.0889473462390794,-0.0184378119574006,-0.0554040469025809,-0.0385337371375992,-0.0966158818655781,-0.145920467692655,0.085249844318759,0.108628329744351,-0.654565555094789,-0.327182997345071,1,-0.0712938551539904,0.124659922826845,-0.168516675894494,0.152339699695902
"d_partime",-0.143732607817285,-0.0483394991061292,-0.123687382587559,-0.0728976455775698,-0.00919980808351984,0.00637149339210288,-0.00270483784676291,-0.27618423447981,0.06439476620554,0.00116687523283912,-0.0712938551539904,1,0.0252791456155338,-0.0631947307679061,-0.140621929101816
"d_agri",-0.0129231427850881,-0.0518164279273811,-0.140400084064705,-0.161016655903167,-0.109750140160713,-0.106314542804391,0.0357090248394579,0.0229553956666245,-0.0828613894954148,-0.0392075609440007,0.124659922826845,0.0252791456155338,1,-0.11548440891664,-0.147342343013017
"d_indu",0.0644828377029337,-0.0852850435642687,-0.132725475897705,-0.215829678085436,-0.125623988993883,-0.0973573323656089,0.043816636763457,0.17751332369749,0.148673178234647,0.00717814501818682,-0.168516675894494,-0.0631947307679061,-0.11548440891664,1,-0.519565735452695
"d_pa",0.0636414810952601,0.150257423053246,0.30052856167726,0.350676969383076,0.142444818853187,0.117742928728712,-0.014343118934856,-0.148262727115217,-0.148466175159806,0.0110914212720245,0.152339699695902,-0.140621929101816,-0.147342343013017,-0.519565735452695,1
